word,doc_id:freq
juíza,"[(0, 2), (1, 1)]"
federal,"[(0, 1), (1, 1), (2, 1), (6, 2), (14, 1), (36, 2), (41, 1), (49, 1), (112, 1), (114, 1), (125, 1), (138, 1), (150, 3), (202, 1), (204, 1), (205, 2), (212, 2), (219, 1), (223, 1), (224, 1), (227, 1), (228, 1), (247, 1)]"
Ivani,"[(0, 1), (1, 1)]"
Silva,"[(0, 3), (1, 1), (5, 1), (13, 2), (25, 1), (72, 1), (75, 1), (114, 1), (182, 1), (225, 1), (233, 1), (235, 1)]"
Luz,"[(0, 3), (1, 1), (124, 1)]"
Brasília,"[(0, 1), (7, 1), (32, 1), (34, 1), (43, 1), (47, 1), (49, 1), (52, 1), (61, 1), (71, 1), (79, 1), (84, 1), (100, 1), (137, 1), (145, 1), (160, 1), (161, 1), (202, 1), (204, 1), (206, 2), (212, 1), (213, 1), (216, 4), (221, 1), (228, 1), (234, 1), (237, 1), (245, 1)]"
proibiu,"[(0, 1), (1, 1), (118, 1), (161, 1)]"
caráter,"[(0, 1), (14, 1), (35, 1), (59, 1), (88, 1), (96, 1), (119, 1), (148, 1), (238, 1), (246, 1)]"
liminar,"[(0, 1), (1, 3), (118, 1), (216, 1)]"
sexta-feira,"[(0, 2), (1, 1), (22, 1), (30, 1), (35, 1), (52, 1), (53, 1), (60, 1), (63, 1), (65, 1), (81, 1), (89, 4), (90, 4), (96, 1), (99, 1), (102, 1), (111, 1), (119, 1), (132, 1), (137, 1), (177, 1), (182, 1), (186, 1), (223, 1), (228, 1), (244, 1), (248, 2)]"
Forças,"[(0, 3), (5, 3), (11, 1), (24, 4), (41, 1), (64, 2), (98, 2), (114, 2), (149, 8), (150, 2), (164, 1), (165, 4), (204, 1), (207, 4), (217, 1), (222, 1), (227, 1), (245, 1), (246, 1)]"
Armadas,"[(0, 3), (5, 3), (11, 1), (24, 4), (41, 1), (64, 2), (98, 2), (114, 2), (149, 7), (150, 2), (164, 1), (165, 4), (204, 1), (207, 4), (217, 1), (222, 1), (245, 1)]"
comemorarem,"[(0, 1), (165, 1), (217, 1)]"
especialmente,"[(0, 1), (1, 1), (9, 1), (10, 1), (11, 1), (55, 1), (68, 1), (69, 1), (75, 1), (77, 1), (95, 1), (101, 1), (112, 1), (122, 3), (127, 1), (131, 1), (137, 1), (139, 1), (145, 1), (159, 1), (161, 1), (163, 3), (168, 1), (170, 1), (178, 1), (182, 1), (188, 1), (203, 1), (210, 1), (216, 1)]"
uso,"[(0, 1), (1, 1), (10, 1), (11, 2), (17, 1), (18, 1), (30, 2), (59, 1), (60, 1), (77, 1), (90, 1), (107, 1), (118, 1), (136, 2), (140, 1), (145, 3), (152, 1), (160, 1), (172, 1), (184, 1), (188, 1), (201, 1), (229, 4), (247, 1), (248, 1)]"
dinheiro,"[(0, 1), (1, 1), (9, 1), (12, 1), (13, 2), (25, 1), (30, 1), (33, 1), (39, 1), (40, 2), (46, 4), (64, 1), (68, 2), (69, 1), (79, 1), (82, 1), (87, 1), (105, 1), (116, 1), (124, 2), (126, 1), (134, 1), (137, 1), (139, 1), (143, 1), (148, 1), (156, 1), (166, 1), (177, 1), (179, 1), (183, 1), (188, 1), (196, 1), (201, 2), (203, 2), (206, 2), (212, 1), (216, 1), (218, 1), (219, 1), (242, 3), (248, 3)]"
