RSS,elapsed,cpu.sys,.user,k,n_words,approach,execution
89012,0:09.19,1.6,7.59,1,1,by_document,1
88988,0:08.00,1.54,6.46,1,1,by_document,2
89068,0:09.09,1.59,7.49,1,1,by_document,3
89468,0:08.77,1.62,7.14,1,1,by_document,4
89056,0:10.93,1.88,9.03,1,1,by_document,5
88744,0:10.77,2.04,8.71,1,1,by_document,6
89368,0:10.57,1.94,8.58,1,1,by_document,7
88972,0:10.53,1.74,8.78,1,1,by_document,8
88992,0:09.93,1.85,8.06,1,1,by_document,9
89044,0:10.00,1.84,8.14,1,1,by_document,10
88924,0:10.99,1.96,8.98,1,1,by_document,11
89024,0:09.40,1.83,7.56,1,1,by_document,12
88868,0:08.41,1.49,6.87,1,1,by_document,13
88828,0:08.58,1.61,6.84,1,1,by_document,14
88996,0:10.12,1.88,8.18,1,1,by_document,15
89296,0:09.73,1.92,7.79,1,1,by_document,16
89372,0:11.42,2.07,9.24,1,1,by_document,17
88768,0:09.93,1.84,8.06,1,1,by_document,18
89200,0:10.71,1.91,8.77,1,1,by_document,19
89076,0:08.94,1.59,7.34,1,1,by_document,20
89220,0:07.69,1.44,6.25,1,1,by_document,21
88952,0:07.69,1.52,6.16,1,1,by_document,22
89012,0:07.72,1.46,6.26,1,1,by_document,23
89200,0:07.71,1.54,6.16,1,1,by_document,24
89000,0:07.64,1.44,6.19,1,1,by_document,25
88916,0:07.67,1.4,6.26,1,1,by_document,26
88968,0:07.66,1.34,6.31,1,1,by_document,27
89092,0:07.71,1.54,6.16,1,1,by_document,28
89036,0:07.90,1.55,6.34,1,1,by_document,29
89008,0:07.86,1.55,6.3,1,1,by_document,30
89184,0:08.32,1.67,6.64,1,2,by_document,1
88776,0:09.42,1.81,7.6,1,2,by_document,2
89000,0:11.52,2.28,9.11,1,2,by_document,3
88976,0:10.89,1.97,8.83,1,2,by_document,4
89036,0:08.62,1.81,6.8,1,2,by_document,5
89088,0:08.35,1.69,6.65,1,2,by_document,6
89024,0:08.03,1.52,6.5,1,2,by_document,7
88856,0:08.07,1.49,6.56,1,2,by_document,8
89196,0:08.01,1.62,6.37,1,2,by_document,9
89096,0:08.72,1.69,7.01,1,2,by_document,10
89328,0:08.63,1.56,7.03,1,2,by_document,11
88952,0:10.66,2.21,8.35,1,2,by_document,12
88936,0:10.97,1.95,8.95,1,2,by_document,13
89268,0:10.04,1.96,8.06,1,2,by_document,14
88932,0:09.86,1.8,8.05,1,2,by_document,15
89196,0:10.29,1.86,8.39,1,2,by_document,16
88908,0:08.82,1.66,7.13,1,2,by_document,17
88852,0:09.55,1.74,7.78,1,2,by_document,18
89004,0:08.72,1.7,7.02,1,2,by_document,19
89124,0:08.15,1.54,6.58,1,2,by_document,20
88992,0:08.17,1.54,6.62,1,2,by_document,21
89348,0:07.99,1.53,6.46,1,2,by_document,22
88856,0:07.95,1.58,6.35,1,2,by_document,23
88992,0:08.36,1.61,6.74,1,2,by_document,24
88828,0:07.89,1.42,6.46,1,2,by_document,25
88968,0:08.41,1.72,6.68,1,2,by_document,26
89076,0:08.39,1.6,6.77,1,2,by_document,27
88908,0:09.15,1.71,7.41,1,2,by_document,28
89308,0:08.23,1.46,6.77,1,2,by_document,29
88828,0:07.72,1.48,6.24,1,2,by_document,30
88824,0:08.75,1.63,7.11,1,3,by_document,1
89340,0:08.09,1.45,6.63,1,3,by_document,2
89412,0:10.19,1.97,8.05,1,3,by_document,3
88932,0:09.99,1.8,8.13,1,3,by_document,4
89016,0:08.76,1.59,7.14,1,3,by_document,5
89136,0:09.89,1.83,8.04,1,3,by_document,6
89120,0:09.81,1.86,7.9,1,3,by_document,7
88960,0:08.44,1.76,6.67,1,3,by_document,8
89012,0:07.89,1.46,6.43,1,3,by_document,9
88968,0:08.06,1.47,6.58,1,3,by_document,10
89084,0:10.90,1.92,8.85,1,3,by_document,11
89356,0:09.58,1.79,7.76,1,3,by_document,12
89524,0:10.28,1.82,8.44,1,3,by_document,13
89484,0:10.32,1.94,8.32,1,3,by_document,14
89308,0:09.23,1.52,7.7,1,3,by_document,15
89280,0:08.07,1.54,6.51,1,3,by_document,16
88748,0:07.83,1.52,6.31,1,3,by_document,17
89332,0:09.59,1.92,7.61,1,3,by_document,18
88984,0:09.94,1.92,8.01,1,3,by_document,19
88944,0:09.47,1.74,7.67,1,3,by_document,20
88920,0:09.14,1.7,7.42,1,3,by_document,21
88836,0:07.99,1.68,6.3,1,3,by_document,22
89100,0:07.84,1.56,6.26,1,3,by_document,23
89292,0:08.01,1.39,6.62,1,3,by_document,24
89324,0:08.15,1.63,6.52,1,3,by_document,25
89300,0:08.36,1.57,6.76,1,3,by_document,26
88948,0:08.85,1.46,7.37,1,3,by_document,27
89064,0:08.18,1.52,6.62,1,3,by_document,28
89468,0:07.73,1.49,6.23,1,3,by_document,29
89400,0:07.69,1.47,6.18,1,3,by_document,30
89352,0:07.67,1.48,6.17,1,4,by_document,1
89140,0:08.88,1.79,7.06,1,4,by_document,2
88852,0:09.70,1.92,7.77,1,4,by_document,3
89088,0:08.61,1.52,7.09,1,4,by_document,4
88996,0:08.00,1.52,6.47,1,4,by_document,5
88972,0:08.06,1.67,6.38,1,4,by_document,6
88912,0:08.69,1.62,7.04,1,4,by_document,7
89296,0:09.31,1.88,7.34,1,4,by_document,8
89348,0:08.13,1.55,6.58,1,4,by_document,9
89012,0:08.83,1.66,7.11,1,4,by_document,10
89508,0:07.91,1.55,6.35,1,4,by_document,11
88812,0:07.88,1.57,6.3,1,4,by_document,12
88940,0:07.98,1.5,6.46,1,4,by_document,13
88924,0:07.81,1.51,6.29,1,4,by_document,14
88940,0:07.80,1.53,6.26,1,4,by_document,15
88964,0:07.75,1.57,6.17,1,4,by_document,16
89292,0:07.79,1.36,6.42,1,4,by_document,17
88976,0:08.05,1.71,6.33,1,4,by_document,18
88904,0:09.83,1.94,7.87,1,4,by_document,19
88920,0:09.68,1.88,7.78,1,4,by_document,20
88924,0:09.90,1.86,8.02,1,4,by_document,21
88808,0:08.73,1.52,7.17,1,4,by_document,22
88900,0:07.83,1.49,6.33,1,4,by_document,23
89472,0:07.76,1.4,6.35,1,4,by_document,24
